estimated_study_hours,hours_left_until_deadline,completion_percentage,difficulty,risk_level
19.2,9.4,32.0,Medium,High
10.4,37.9,59.3,Hard,High
15.5,13.0,15.3,Easy,High
7.2,144.4,56.5,Hard,Low
6.7,17.8,52.0,Easy,Low
17.9,7.8,26.1,Medium,High
11.8,6.2,38.2,Easy,High
15.0,3.0,1.9,Hard,High
8.3,165.9,71.7,Hard,Low
7.4,90.9,65.7,Medium,Low
17.3,12.0,8.1,Hard,High
6.2,14.1,7.1,Medium,Low
5.0,166.9,89.5,Easy,Low
12.3,59.0,69.5,Easy,Low
5.6,12.5,47.6,Medium,Low
18.7,6.3,18.6,Easy,High
5.3,158.2,58.7,Easy,Low
5.9,137.8,42.5,Easy,Low
6.0,51.1,73.1,Easy,Low
3.7,156.4,64.5,Medium,Low
7.9,164.3,42.8,Medium,Low
14.9,57.9,48.3,Easy,Low
7.1,137.5,69.4,Easy,Low
7.9,94.4,46.7,Easy,Medium
7.9,12.2,0.4,Hard,High
7.4,111.8,42.4,Medium,Low
9.0,67.6,84.5,Easy,Low
18.5,16.9,21.9,Medium,High
8.6,17.0,21.9,Easy,Medium
19.1,14.8,36.7,Medium,High
2.9,112.1,85.9,Easy,Low
4.5,82.7,49.4,Medium,Low
3.3,163.6,91.7,Easy,Low
16.8,9.2,0.5,Medium,High
9.7,132.1,76.6,Hard,Low
9.6,141.6,84.2,Medium,Low
8.0,57.7,44.3,Easy,Low
8.3,71.3,64.4,Medium,Low
6.9,118.0,81.6,Easy,Medium
10.7,18.7,17.9,Hard,Medium
6.6,13.8,47.7,Hard,Medium
7.3,8.3,7.9,Hard,High
9.8,66.3,65.2,Easy,Low
5.2,33.1,59.1,Hard,Low
14.8,29.6,53.0,Hard,Medium
3.4,24.5,66.6,Easy,Low
7.2,55.5,72.8,Medium,Low
14.6,17.3,12.8,Easy,Medium
7.6,129.4,90.8,Medium,Low
3.7,42.4,51.5,Hard,Low
10.4,11.2,7.4,Medium,High
8.1,15.4,33.5,Hard,Medium
1.0,55.8,75.8,Easy,Low
11.5,11.3,32.2,Easy,Medium
16.1,10.3,13.2,Medium,High
14.1,6.1,21.4,Hard,High
12.1,52.4,31.4,Easy,Low
9.5,40.9,68.6,Easy,Low
5.1,2.9,33.3,Easy,High
8.6,58.1,56.2,Medium,Low
4.4,57.9,84.3,Hard,Low
1.2,153.6,80.9,Easy,Low
9.9,12.2,13.5,Medium,High
5.8,11.8,42.0,Easy,Low
9.3,17.7,8.8,Easy,Medium
8.0,109.0,71.8,Easy,Medium
5.7,116.3,99.6,Medium,Low
3.0,166.7,81.0,Easy,Low
17.1,13.7,1.9,Medium,High
9.2,70.0,74.6,Medium,Low
8.8,13.2,30.9,Medium,Medium
7.7,45.6,82.3,Medium,Low
11.8,57.8,60.0,Easy,Low
11.5,15.9,10.1,Medium,High
6.8,22.9,55.4,Hard,Low
9.0,126.6,45.2,Easy,Low
2.7,102.5,44.2,Hard,Low
7.9,57.4,82.3,Hard,Low
7.1,118.7,61.6,Easy,Low
4.3,53.3,66.4,Hard,Low
8.4,154.9,85.5,Medium,Low
5.7,2.1,34.8,Medium,High
10.7,1.3,13.4,Easy,High
3.7,39.3,22.8,Hard,Low
14.0,56.5,50.4,Medium,Low
14.9,54.5,50.6,Medium,Low
7.2,5.3,38.2,Easy,High
5.4,167.9,48.9,Hard,Low
1.8,165.7,78.8,Medium,High
6.9,40.2,90.9,Medium,Low
4.2,63.1,62.8,Easy,Low
8.0,7.4,36.4,Hard,High
5.4,18.9,9.9,Easy,Low
11.9,7.9,24.0,Medium,High
4.4,47.7,77.6,Hard,Low
9.7,93.2,47.0,Medium,Low
6.7,57.9,23.3,Easy,Low
3.9,63.0,53.1,Medium,Low
9.9,46.3,53.9,Medium,Low
7.2,56.3,43.6,Medium,Low
14.0,53.3,65.2,Hard,Low
9.7,10.7,10.4,Hard,High
3.1,54.6,29.2,Hard,Low
7.5,49.6,94.3,Hard,Low
6.4,44.1,34.2,Easy,Low
1.8,146.4,41.6,Hard,High
11.0,52.6,54.7,Medium,Low
7.3,27.9,43.3,Hard,Low
7.2,148.4,87.6,Easy,Low
11.3,11.4,19.6,Medium,High
8.8,48.7,60.2,Easy,Low
5.0,123.2,83.3,Hard,Low
19.4,15.2,6.1,Medium,High
2.5,113.2,62.8,Easy,Low
6.8,111.5,59.7,Medium,Low
8.0,104.6,64.6,Easy,Low
5.1,89.8,44.0,Easy,Low
6.5,11.3,15.9,Medium,Medium
8.7,7.3,17.1,Medium,High
3.9,161.6,40.1,Medium,Low
9.5,11.8,21.0,Hard,High
7.8,4.7,16.0,Easy,High
10.0,8.3,32.5,Hard,High
6.8,19.7,23.1,Hard,Medium
6.4,0.9,37.0,Hard,High
6.9,132.3,72.3,Medium,Low
3.2,50.6,47.8,Medium,Low
8.2,127.1,55.9,Hard,Low
7.4,48.4,64.2,Easy,Low
9.0,43.4,60.5,Hard,Low
2.2,138.3,70.2,Easy,Low
17.4,3.2,13.7,Hard,High
6.8,35.0,59.6,Easy,Low
8.0,33.2,22.6,Easy,Low
6.6,40.2,63.1,Hard,Low
17.4,5.0,18.3,Hard,High
12.2,8.7,32.0,Hard,High
2.4,97.1,91.7,Hard,Low
14.2,17.7,24.5,Easy,Medium
13.7,58.8,42.4,Hard,Low
11.1,2.2,39.6,Medium,High
2.0,103.3,70.0,Easy,Low
9.6,46.0,56.9,Medium,Low
9.2,71.8,59.2,Medium,Low
8.3,152.1,74.5,Medium,Low
11.3,16.7,16.7,Hard,High
15.5,1.3,39.3,Hard,High
14.7,15.6,56.0,Easy,Medium
1.0,96.5,97.5,Easy,Low
5.1,38.4,69.2,Medium,Low
8.8,11.2,56.3,Hard,Medium
7.5,38.6,59.0,Hard,Low
11.7,37.5,64.4,Medium,Low
4.1,40.6,32.5,Easy,Low
12.4,11.1,49.4,Hard,High
4.6,16.1,34.1,Hard,Low
1.9,143.5,80.5,Easy,Low
19.7,1.8,24.3,Easy,High
12.4,15.2,39.5,Medium,Medium
15.9,6.6,38.8,Medium,High
4.0,98.2,92.8,Easy,Low
4.5,40.7,25.1,Medium,Low
12.9,39.2,43.8,Medium,Low
11.4,15.2,37.9,Easy,Medium
3.1,165.6,46.8,Easy,Low
5.3,50.4,49.1,Hard,Low
3.0,15.2,66.7,Hard,Low
8.6,49.9,46.1,Easy,Low
4.4,120.4,44.5,Medium,Low
2.4,153.7,44.5,Easy,Low
7.2,106.4,77.1,Medium,Low
8.6,2.6,9.7,Easy,High
9.1,19.2,22.5,Easy,Medium
4.9,22.3,69.6,Easy,Low
4.9,135.6,45.9,Easy,Low
11.6,48.2,20.6,Hard,Low
12.0,57.9,63.4,Medium,Low
5.5,5.9,12.8,Easy,High
2.2,151.8,50.4,Medium,Low
11.9,2.7,11.6,Medium,High
8.0,18.2,36.2,Hard,Medium
13.0,15.2,14.1,Easy,Medium
5.6,8.8,19.0,Easy,Medium
4.7,44.5,58.5,Medium,Low
7.9,20.8,36.2,Medium,Low
10.8,15.9,26.8,Easy,Medium
6.6,42.5,32.2,Easy,Low
8.7,10.0,65.0,Hard,Medium
4.6,109.5,61.0,Medium,Low
3.1,52.0,76.1,Easy,Low
3.2,70.6,74.0,Medium,Low
15.3,13.7,10.4,Medium,High
14.9,12.7,22.9,Easy,High
4.9,33.5,29.5,Hard,High
8.1,5.7,15.6,Hard,High
7.4,2.3,19.4,Hard,High
13.7,24.1,24.6,Easy,Medium
14.4,37.3,27.3,Easy,Low
2.5,160.6,93.4,Medium,Low
13.8,0.7,32.3,Hard,High
10.3,12.6,14.6,Medium,High
8.1,16.0,19.9,Medium,Medium
11.6,11.6,20.3,Easy,Medium
3.6,98.0,76.9,Easy,Low
11.5,30.2,53.3,Medium,Low
13.2,8.5,1.2,Easy,High
7.0,161.0,85.9,Easy,Low
8.1,55.3,40.5,Hard,High
6.3,138.0,85.4,Hard,Low
9.5,9.0,13.2,Hard,High
9.4,96.7,93.6,Medium,Low
6.4,102.0,45.3,Medium,Low
4.9,29.1,42.2,Hard,Low
15.6,19.5,18.5,Easy,Medium
12.8,19.9,56.4,Medium,Medium
14.5,16.7,28.9,Easy,Medium
1.8,63.0,79.1,Easy,Low
17.1,3.2,32.5,Medium,High
16.0,10.2,0.7,Hard,High
7.9,19.1,24.3,Easy,Medium
9.7,131.0,63.8,Easy,Medium
4.0,115.0,59.4,Medium,Low
3.3,41.4,70.6,Easy,Low
5.4,115.0,85.1,Hard,Low
13.7,2.5,13.1,Easy,High
8.6,9.6,9.3,Medium,High
4.2,43.3,59.0,Medium,Low
4.4,161.6,62.8,Hard,Low
8.7,6.8,19.8,Hard,High
5.0,134.4,47.6,Easy,Low
14.9,9.9,31.2,Medium,High
7.5,58.0,83.3,Medium,Low
6.9,58.5,53.1,Medium,Low
5.7,55.6,69.7,Medium,Low
6.5,61.7,59.5,Hard,Low
9.7,57.5,20.8,Medium,Low
13.3,12.0,5.6,Medium,High
4.5,47.8,71.4,Hard,Low
14.5,1.1,8.2,Easy,High
6.3,63.2,78.1,Medium,Low
19.2,19.7,7.0,Medium,High
13.8,48.5,35.1,Medium,Low
7.3,19.6,30.6,Medium,Medium
12.2,55.6,47.6,Medium,Low
8.4,148.7,46.3,Easy,Low
5.3,42.3,25.4,Medium,Low
6.8,4.0,32.5,Medium,High
3.6,74.2,49.6,Medium,Low
5.4,89.0,76.5,Medium,Medium
6.5,35.5,21.2,Easy,Low
14.0,12.1,13.1,Medium,High
13.1,14.8,25.0,Easy,Medium
8.8,137.2,89.3,Medium,Low
13.3,17.5,49.2,Medium,Medium
4.2,119.0,98.7,Medium,Low
8.5,6.2,16.5,Easy,High
6.4,134.3,73.3,Medium,Low
6.3,1.2,20.4,Hard,High
2.3,71.0,65.8,Hard,Low
7.5,13.9,0.1,Hard,Low
3.1,56.1,98.9,Easy,Low
9.0,28.2,56.9,Hard,Low
6.4,57.8,23.8,Easy,Low
8.3,119.0,82.4,Medium,Low
16.0,10.2,17.7,Medium,High
5.8,9.8,26.5,Medium,Medium
5.1,34.8,30.2,Medium,Low
9.7,78.3,81.4,Hard,Low
7.0,3.2,12.1,Hard,High
12.9,15.8,21.6,Medium,Medium
6.7,60.6,42.4,Hard,Low
7.5,61.7,69.3,Medium,Low
9.2,0.8,14.8,Medium,High
15.7,3.5,17.9,Easy,High
9.6,1.7,15.8,Medium,High
5.6,117.6,63.1,Medium,Low
9.1,160.5,43.1,Medium,Low
15.8,17.7,32.4,Medium,Medium
13.2,39.7,25.0,Medium,Low
13.1,54.2,67.8,Easy,Low
8.1,12.9,20.1,Easy,Medium
17.4,16.2,8.0,Hard,Low
9.7,51.9,78.1,Hard,Low
3.7,132.1,58.6,Easy,Low
5.5,86.8,52.6,Medium,Low
5.1,31.0,45.9,Easy,Low
4.0,72.6,44.7,Easy,Low
19.7,5.5,35.6,Easy,High
4.5,77.1,76.9,Easy,Low
7.3,88.7,70.0,Easy,Low
7.8,12.2,29.1,Easy,Medium
13.6,11.3,28.9,Hard,High
5.0,46.3,48.9,Easy,Medium
10.5,6.5,26.1,Medium,High
4.6,62.7,59.1,Medium,Low
6.9,15.2,20.7,Medium,Medium
10.0,39.4,49.2,Medium,Low
15.2,12.7,17.7,Medium,High
17.7,11.7,33.3,Hard,High
11.1,46.8,23.7,Hard,Low
8.2,19.7,32.8,Easy,Low
5.2,57.4,43.0,Medium,Low
3.2,59.7,47.9,Easy,Low
9.4,55.4,50.8,Easy,Low
18.4,14.0,33.3,Hard,High
6.7,77.8,57.9,Hard,Low
4.5,42.4,38.4,Hard,Low
2.3,145.4,47.6,Medium,Low
5.6,51.0,37.6,Hard,Low
18.3,1.7,38.0,Medium,High
8.2,114.7,83.5,Medium,Low
19.6,1.4,22.5,Hard,High
12.9,10.3,20.9,Medium,High
5.8,8.4,7.8,Easy,Medium
12.7,50.3,24.5,Easy,Low
14.9,35.6,38.5,Medium,Medium
13.5,12.4,32.9,Hard,High
7.7,13.5,18.1,Medium,Medium
14.7,14.7,61.5,Easy,Medium
5.7,9.0,33.4,Easy,Medium
6.2,35.4,52.9,Easy,Low
4.4,77.7,45.7,Easy,Low
3.6,53.7,69.0,Medium,Low
9.7,77.5,72.5,Easy,Low
13.5,17.7,14.3,Easy,Medium
13.9,52.9,56.7,Hard,Low
13.8,2.0,21.0,Easy,High
1.9,93.1,78.3,Hard,Low
9.3,2.9,2.4,Hard,High
15.1,14.3,5.5,Medium,High
10.7,51.3,68.3,Hard,Low
18.2,6.2,2.3,Easy,High
13.7,15.0,17.5,Easy,Medium
6.9,148.5,58.1,Easy,Low
3.6,84.8,87.1,Easy,Low
9.7,121.4,89.3,Easy,Low
11.0,57.0,69.9,Easy,Low
8.2,6.2,11.9,Medium,High
13.1,14.2,4.4,Medium,High
7.3,0.6,16.7,Medium,High
8.6,13.9,65.5,Medium,Low
14.5,9.0,30.6,Hard,High
7.1,130.9,72.0,Medium,Low
7.0,115.5,58.8,Hard,Low
14.1,1.8,23.9,Hard,High
6.5,74.6,48.2,Hard,Low
11.1,53.9,65.0,Medium,Low
2.8,90.9,73.1,Hard,Low
8.7,23.7,22.2,Hard,Medium
7.9,122.5,68.2,Hard,Low
4.5,64.1,78.8,Hard,Low
4.5,44.7,91.9,Hard,Low
14.2,19.3,42.6,Hard,Medium
9.5,87.1,99.1,Easy,Low
12.7,15.7,41.5,Easy,Medium
7.5,87.4,86.6,Easy,Low
11.0,1.1,37.2,Hard,High
14.1,29.7,66.5,Hard,Low
10.3,40.5,68.2,Hard,Low
5.4,76.9,47.8,Medium,Low
8.8,162.3,47.8,Medium,Low
1.9,153.8,86.0,Medium,Low
10.9,25.3,61.8,Easy,Low
5.2,167.7,87.5,Medium,Low
6.6,79.1,76.6,Medium,Low
4.9,29.6,41.0,Easy,Low
14.5,35.6,46.5,Medium,Low
3.8,39.6,69.8,Medium,Medium
12.1,2.8,6.7,Hard,High
9.6,40.8,32.5,Easy,Low
19.0,15.3,25.5,Easy,High
13.4,58.0,32.1,Hard,Low
4.8,117.9,86.6,Hard,Low
19.3,10.4,13.2,Hard,High
7.5,3.0,5.4,Easy,High
1.3,62.9,46.4,Easy,Low
6.0,4.8,28.2,Hard,High
9.0,93.8,62.3,Medium,Low
12.5,25.8,38.9,Easy,Low
6.4,114.0,59.9,Hard,Low
4.4,38.8,58.2,Easy,Low
6.8,78.2,76.5,Hard,Low
9.0,150.1,81.7,Medium,Low
11.9,4.3,1.2,Hard,Low
3.5,152.9,77.7,Easy,Low
5.3,165.7,96.1,Easy,Medium
15.9,11.5,0.4,Easy,Medium
9.4,46.6,66.0,Hard,Low
8.0,120.3,60.9,Easy,Low
9.5,54.6,67.9,Hard,Low
13.2,6.1,20.0,Hard,High
8.3,147.1,98.2,Easy,Low
6.1,10.5,2.1,Medium,Medium
17.4,10.2,16.6,Hard,High
5.9,40.2,33.8,Hard,Low
12.3,10.0,24.1,Easy,High
3.8,12.4,46.4,Easy,Low
2.5,93.6,67.3,Medium,Low
8.4,45.7,32.8,Easy,Low
9.5,74.4,81.0,Hard,Low
1.1,153.8,61.7,Hard,Low
6.3,119.9,82.7,Medium,Low
3.6,44.2,57.0,Medium,Low
4.4,46.6,37.7,Medium,Low
13.9,14.2,22.9,Easy,Medium
7.7,72.2,85.0,Hard,Low
12.1,18.4,56.4,Hard,Medium
12.7,15.9,31.1,Easy,Medium
13.4,42.4,44.1,Medium,Low
13.9,58.0,65.8,Easy,Low
6.5,44.2,68.0,Hard,Low
8.1,8.4,33.6,Easy,Medium
9.9,49.1,65.6,Medium,Low
7.8,11.9,60.3,Hard,Medium
6.5,58.4,81.6,Medium,Medium
12.6,53.2,34.2,Hard,Low
8.1,83.2,58.7,Easy,Low
17.8,10.7,32.5,Hard,High
10.5,44.4,34.4,Hard,Low
10.9,3.4,14.7,Hard,High
9.5,4.9,15.0,Easy,High
6.5,51.6,68.2,Hard,Low
4.1,155.2,42.7,Easy,Low
7.7,19.9,6.4,Easy,Medium
4.0,38.5,70.0,Hard,Low
9.6,9.4,16.3,Easy,High
15.5,19.5,12.2,Hard,High
12.1,15.0,3.0,Easy,Medium
9.1,25.5,52.1,Hard,Low
4.5,80.5,60.1,Medium,Low
7.7,49.8,37.9,Medium,Low
9.7,77.0,40.0,Hard,Low
2.7,68.2,44.1,Hard,Low
14.8,3.1,22.9,Hard,High
11.9,36.7,25.1,Medium,Low
4.4,22.3,39.8,Medium,Low
12.4,43.8,24.3,Easy,Low
19.1,1.6,6.9,Easy,High
4.9,53.5,79.5,Hard,Low
19.0,7.5,33.9,Medium,High
2.7,99.9,46.8,Hard,Low
7.6,47.1,52.9,Hard,Low
10.4,21.5,48.5,Easy,Low
6.2,13.4,1.0,Hard,Medium
18.6,12.6,17.8,Hard,High
8.8,24.5,33.2,Easy,High
19.7,16.0,10.7,Medium,Medium
9.9,33.3,22.7,Easy,Low
6.8,1.4,6.6,Hard,High
7.6,46.3,69.9,Hard,Low
11.8,7.2,0.3,Easy,High
16.5,10.4,11.1,Easy,High
10.1,53.8,60.3,Hard,Low
3.1,30.9,25.9,Hard,Low
4.6,79.5,69.3,Easy,Low
17.2,18.8,12.0,Easy,Medium
9.3,164.7,62.6,Easy,Low
6.1,130.5,93.4,Easy,Low
6.7,12.4,15.9,Easy,Medium
5.6,8.1,0.9,Medium,High
5.4,11.7,51.7,Medium,Low
9.2,16.6,34.6,Easy,Medium
12.6,6.6,30.0,Hard,High
18.7,17.1,14.6,Hard,High
3.7,148.7,82.5,Easy,Low
14.0,16.9,34.7,Hard,High
9.5,27.6,61.2,Easy,Low
8.5,53.8,42.9,Hard,Low
7.5,49.3,22.1,Easy,Low
9.6,121.6,65.9,Hard,Low
7.3,4.7,30.9,Easy,High
11.2,23.0,65.8,Easy,Low
18.2,15.4,23.1,Easy,High
8.7,151.7,98.1,Medium,Low
8.6,16.3,3.1,Easy,Medium
14.3,56.2,68.6,Hard,Low
8.9,98.6,87.2,Hard,Low
12.0,54.6,48.6,Medium,Low
2.3,82.9,42.3,Hard,Low
14.8,59.2,61.3,Medium,Low
6.0,18.5,33.9,Easy,Low
4.1,68.4,89.8,Hard,Low
6.9,103.9,81.1,Easy,Low
7.2,69.9,63.4,Hard,Low
14.2,21.3,55.8,Hard,Medium
9.0,33.1,40.4,Easy,Low
5.4,45.0,44.0,Hard,Low
9.5,86.4,41.9,Medium,Low
4.1,52.4,52.7,Easy,Low
16.0,19.1,23.1,Easy,Medium
7.2,59.4,64.6,Medium,Low
13.8,42.5,46.0,Medium,Low
7.4,10.7,0.1,Hard,High
6.5,19.2,31.8,Hard,Medium
3.3,21.3,44.2,Easy,Low
3.4,163.6,88.5,Hard,Low
11.8,4.0,3.1,Medium,High
6.9,134.6,62.2,Hard,Low
9.0,39.4,46.2,Easy,Low
13.9,57.8,30.7,Hard,Low
2.4,116.4,50.9,Easy,Low
10.2,45.0,58.5,Hard,Low
4.9,48.4,47.9,Medium,Low
3.7,146.5,65.4,Easy,Low
12.0,30.4,40.9,Hard,Medium
9.6,6.9,32.6,Easy,High
10.7,57.5,51.3,Hard,Low
5.4,48.4,36.4,Medium,Low
13.1,14.3,49.7,Medium,Medium
13.9,22.3,68.5,Medium,Low
4.9,57.4,68.5,Medium,Low
7.6,152.8,56.5,Easy,Low
4.5,49.6,37.2,Easy,High
6.3,85.0,67.9,Hard,Low
16.7,19.2,10.6,Hard,High
15.9,11.7,23.1,Hard,High
2.7,107.9,86.6,Easy,Low
12.4,3.1,18.1,Medium,High
19.8,16.1,7.4,Easy,High
19.6,11.1,34.3,Hard,High
7.8,47.2,22.8,Easy,Low
3.6,125.2,50.8,Hard,Low
4.6,122.3,54.1,Hard,Low
4.2,45.1,40.4,Easy,Low
14.0,22.1,39.4,Hard,Medium
18.3,14.8,3.5,Easy,High
6.7,92.8,89.6,Medium,Low
5.4,32.8,50.3,Medium,Low
8.4,80.0,82.8,Medium,Low
15.9,18.9,11.3,Medium,High
7.5,29.4,26.3,Easy,Low
5.4,157.3,47.4,Hard,Low
6.3,18.3,68.4,Easy,Low
13.8,13.2,43.7,Hard,Medium
9.1,109.5,63.7,Hard,Low
12.5,19.3,56.1,Easy,Low
16.8,2.7,18.4,Medium,High
9.3,115.0,44.5,Hard,Low
3.5,45.5,54.4,Easy,Low
7.5,57.6,50.2,Hard,Low
8.4,23.3,58.9,Hard,Low
6.9,10.6,35.3,Hard,Medium
8.2,9.0,27.6,Medium,High
7.3,7.0,31.0,Medium,High
7.4,17.5,41.7,Hard,Medium
1.8,72.0,97.7,Hard,Low
9.2,39.5,69.4,Hard,Low
6.1,113.8,98.7,Hard,Low
13.6,15.9,25.7,Hard,High
19.2,1.0,2.0,Easy,High
12.1,28.2,24.5,Medium,Medium
13.4,37.6,62.5,Medium,Low
5.8,13.6,52.1,Easy,Low
9.7,20.2,35.4,Hard,Medium
10.8,10.5,19.9,Easy,High
4.6,139.1,48.3,Medium,Low
5.6,37.1,44.4,Easy,Low
14.4,40.1,62.1,Easy,Low
14.0,3.1,7.2,Hard,High
3.5,147.5,86.7,Easy,Low
9.0,56.6,43.9,Hard,Low
3.5,134.5,75.4,Easy,Low
14.6,17.0,22.8,Easy,Medium
17.6,1.9,31.0,Hard,High
8.7,104.4,49.4,Medium,Low
5.1,43.2,93.8,Medium,Low
4.2,29.6,56.7,Medium,Low
6.4,10.1,1.7,Medium,Medium
11.3,46.1,67.3,Easy,Low
2.0,83.2,53.6,Easy,Low
6.5,28.5,35.8,Hard,Low
8.4,117.1,79.7,Medium,Low
8.6,120.2,74.3,Medium,Low
5.7,120.6,57.4,Hard,Low
3.6,53.3,66.7,Hard,Low
8.3,13.0,28.4,Hard,Medium
14.8,27.7,44.7,Easy,Low
7.1,42.2,72.1,Medium,Low
5.5,87.7,94.1,Hard,Low
9.8,82.4,64.6,Easy,Low
14.1,28.5,25.6,Hard,Medium
18.8,12.5,23.7,Medium,High
9.8,38.2,59.5,Hard,Medium
14.1,30.1,25.9,Medium,Medium
14.0,59.9,66.9,Easy,Low
7.5,26.4,27.3,Easy,Low
8.1,14.4,2.8,Easy,Medium
1.4,145.4,46.3,Easy,Low
18.6,1.8,21.0,Easy,High
7.0,38.9,29.7,Medium,Low
5.3,27.6,66.1,Easy,Low
12.6,9.0,0.1,Medium,High
14.5,52.5,32.9,Medium,Low
7.7,4.8,18.7,Medium,High
6.7,50.4,34.6,Easy,Low
15.8,6.0,2.6,Medium,High
14.8,0.7,15.1,Easy,High
7.7,2.0,12.2,Easy,High
6.2,15.9,9.9,Easy,Medium
18.8,9.3,24.1,Medium,High
15.0,16.8,15.5,Medium,High
8.7,27.5,59.1,Hard,Low
6.3,0.6,20.8,Medium,High
13.6,3.6,32.9,Easy,High
11.0,51.9,23.2,Medium,Low
10.2,4.9,23.5,Medium,High
14.7,13.0,29.5,Hard,High
10.5,17.0,33.2,Easy,Medium
8.9,28.7,52.1,Hard,Low
2.0,158.4,76.7,Easy,Low
8.0,164.8,76.6,Easy,Low
1.8,83.6,90.7,Medium,Low
17.8,2.1,3.8,Hard,High
18.0,7.7,36.3,Hard,High
6.7,91.3,58.8,Easy,Low
19.3,12.9,21.4,Hard,High
19.6,11.1,12.8,Hard,High
10.6,11.7,39.4,Easy,Medium
2.9,51.7,78.4,Medium,Low
7.3,139.2,52.9,Medium,Low
2.9,130.5,51.8,Hard,Low
14.5,2.7,21.7,Hard,High
1.4,129.2,90.2,Hard,Low
5.7,37.7,67.6,Easy,Low
3.5,137.6,97.8,Hard,Low
13.4,9.9,2.7,Hard,High
5.3,160.1,86.1,Easy,Low
5.3,1.6,14.5,Easy,High
12.7,14.9,28.6,Hard,High
4.5,50.3,50.4,Hard,Low
12.1,13.7,38.1,Medium,Medium
9.6,165.6,44.1,Hard,Low
12.7,43.5,37.1,Easy,Low
11.4,10.4,16.8,Medium,High
14.6,1.2,12.1,Easy,High
7.3,10.8,22.3,Medium,Medium
9.2,72.1,43.0,Medium,Low
4.0,81.0,56.7,Medium,Low
8.1,16.1,32.9,Hard,Medium
11.7,35.6,36.9,Medium,Low
12.3,56.4,46.3,Hard,Low
12.9,27.0,50.5,Medium,Low
14.9,9.0,15.5,Hard,High
